Station_Name,Open_Date,Open_Year,BOROUGH,Latitude,Longitude,EV Level2 EVSE Num,EV DC Fast Count,Groups With Access Code
Champion Parking W 53rd Street - Tesla Destination,2015-08-19,2015,MANHATTAN,40.763279,-73.98086,3,NA,Public
Icon Parking 200 E 65th Street - Tesla Destination,2017-08-17,2017,MANHATTAN,40.765108,-73.963389,3,NA,Public
City World Ford Parts,2024-07-17,2024,BRONX,40.87393,-73.853391,1,NA,Public
575 1st Ave,2022-07-28,2022,MANHATTAN,40.74282,-73.97438,4,NA,Public
Icon Parking 225 W 83 Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.786099,-73.977303,3,NA,Public
10 Hudson Yards - Tesla Destination,2024-07-01,2024,MANHATTAN,40.752656,-74.001074,16,NA,Public
N Brooklyn YMCA - Parking Lot,2022-03-13,2022,BROOKLYN,40.68505,-73.88217,4,NA,Public
1 WATERLINE STATION#1,2022-03-09,2022,MANHATTAN,40.772896,-73.992536,2,NA,Public
iPark NYC 44 Elizabeth Street - Tesla Destination,2016-02-16,2016,MANHATTAN,40.716966,-73.996707,3,NA,Public
Icon Parking 55 W 14th Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.737122,-73.996119,3,NA,Public
New York Presbyterian Hospital,2022-09-30,2022,BROOKLYN,40.668552,-73.97869,6,NA,Public
626 Sheepshead Bay Rd - Parking,2021-10-08,2021,BROOKLYN,40.578973,-73.975113,6,NA,Public
CENTERS HEALTHC EV-6,2024-02-14,2024,BROOKLYN,40.673186,-73.925637,2,NA,Public
Quik Park 81 Fleet Place LLC - Tesla Destination,2016-03-11,2016,BROOKLYN,40.693248,-73.981744,3,NA,Public
E 47th Street - Tesla Supercharger,2018-07-23,2018,MANHATTAN,40.753356,-73.971685,NA,4,Public
Icon Parking 300 E 59th Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.760462,-73.964086,3,NA,Public
Quik Park Garden Lots LLC - Tesla Destination,2016-03-11,2016,MANHATTAN,40.749073,-73.990032,3,NA,Public
GGMC Parking Battery Place - Tesla Destination,2018-02-22,2018,MANHATTAN,40.706965,-74.017971,3,NA,Public
202-35 Foothill Ave - Garage,2024-06-01,2024,QUEENS,40.721218,-73.76195,43,NA,Public
Quik Park 40 Riverside Blvd - Tesla Destination,2016-07-07,2016,MANHATTAN,40.77373,-73.989713,3,NA,Public
987 Willoughby - Garage,2023-03-26,2023,BROOKLYN,40.698822,-73.929621,1,NA,Public
165 E 77 ST Garage,2022-07-27,2022,MANHATTAN,40.773528,-73.959538,1,NA,Public
Icon Parking 515 E 72nd Street - Tesla Destination,2017-11-02,2017,MANHATTAN,40.766545,-73.95292,3,NA,Public
CITYLIGHTS 5TH FLOOR 2,2023-09-14,2023,QUEENS,40.744152,-73.956666,2,NA,Public
RAB EV Concierge Demo 1,2024-10-17,2024,MANHATTAN,40.740971,-74.005901,8,NA,Public
Discount Parking 180 Ashland Place - Tesla Destination,2016-05-06,2016,BROOKLYN,40.689457,-73.978606,2,NA,Public
iPark Eleventh Avenue Garage Corp. - Tesla Destination,2017-02-09,2017,MANHATTAN,40.753049,-74.003333,3,NA,Public
Parkright 670 W 43rd Street - Tesla Destination,2015-11-13,2015,MANHATTAN,40.762189,-73.999714,3,NA,Public
Rapidpark 205 W 101st Street - Tesla Destination,2020-11-03,2020,MANHATTAN,40.797603,-73.968503,3,NA,Public
PANYNJ LGATCGARAGE 5-4,2024-04-06,2024,QUEENS,40.76947,-73.865591,1,NA,Public
301 E. 79th St.,2022-01-14,2022,MANHATTAN,40.76939,-73.96546,4,NA,Public
ABM Parking 13 East 54th Street LLC - Tesla Destination,2017-02-10,2017,MANHATTAN,40.760648,-73.974193,2,NA,Public
Laureate Garage,2021-05-07,2021,MANHATTAN,40.78131,-73.980834,2,NA,Public
Nissan of Staten Island,2018-06-28,2018,STATEN ISLAND,40.581432,-74.097694,1,NA,Public
ABM Parking 475 Park Ave South LLC - Tesla Destination,2017-02-10,2017,MANHATTAN,40.745603,-73.98185,2,NA,Public
"The Standard, East Village - Tesla Destination",2016-12-02,2016,MANHATTAN,40.727797,-73.990746,3,NA,Public
iPark 59-63 Allen Street - Tesla Destination,2018-05-24,2018,MANHATTAN,40.717143,-73.991597,3,NA,Public
Bridge Towers Location 1,2021-11-01,2021,MANHATTAN,40.605198,-74.064384,29,NA,Public
160 W 84th St,2022-07-07,2022,MANHATTAN,40.786312,-73.97569,2,NA,Public
87-30 204th St - Garage,2024-06-06,2024,QUEENS,40.72165,-73.760747,44,NA,Public
352 8th St,2021-12-08,2021,BROOKLYN,40.668517,-73.983283,2,NA,Public
WCS NS1 ASIA,2021-01-27,2021,BRONX,40.846612,-73.876323,2,NA,Public
Parkpro - Lafayette Avenue,2023-08-14,2023,BROOKLYN,40.68886,-73.96266,4,NA,Public
Park Towers South - Tesla Destination,2024-07-01,2024,MANHATTAN,40.76775,-73.983784,6,NA,Public
Staten Island Mall Dave and Busters,2020-08-31,2020,STATEN ISLAND,40.582698,-74.167876,4,NA,Public
Revel - Pier 36,2024-10-08,2024,MANHATTAN,40.710294,-73.984768,NA,5,Public
IPark 255 Schermerhorn - Tesla Destination,2019-03-31,2019,BROOKLYN,40.687913,-73.983039,4,NA,Public
1 WATERLINE STATION#2,2022-03-08,2022,MANHATTAN,40.772952,-73.992622,2,NA,Public
St Tropez Building - Garage,2021-12-19,2021,MANHATTAN,40.763015,-73.960127,10,NA,Public
Rapidpark 920 Park Avenue - Tesla Destination,2017-08-23,2017,MANHATTAN,40.776574,-73.96047,3,NA,Public
Standard Parking 151 W 17th Street - Tesla Destination,2017-07-11,2017,MANHATTAN,40.740243,-73.997591,3,NA,Public
Stop and Shop 508 - Glendale Myrtle Ave,2024-12-10,2024,QUEENS,40.701771,-73.890858,2,NA,Public
GGMC Parking Seven Eleven (Located at 217 E 44th St) - Tesla Destination,2015-09-25,2015,MANHATTAN,40.751867,-73.972873,3,NA,Public
Glenwood Grand Tier Parking - Tesla Destination,2017-04-03,2017,MANHATTAN,40.772574,-73.981951,2,NA,Public
NYC FLEET DPRWFMARNA_3_L3,2023-11-04,2023,QUEENS,40.760345,-73.85537,NA,1,Public
Enterprise 61 - Garage,2022-04-19,2022,MANHATTAN,40.763211,-73.965752,4,NA,Public
CORP COMM 3 STATION 9 CC3,2023-01-26,2023,STATEN ISLAND,40.604082,-74.179499,2,NA,Public
Quik Park Broadway Garage LLC - Tesla Destination,2015-05-21,2015,MANHATTAN,40.765844,-73.982481,3,NA,Public
Enterprise 309 Gold Street - Tesla Destination,2017-02-09,2017,BROOKLYN,40.694841,-73.982849,3,NA,Public
191 East 71st Street,2022-06-23,2022,MANHATTAN,40.76945,-73.96154,4,NA,Public
Dime,2023-05-01,2023,BROOKLYN,40.70983,-73.95767,NA,15,Public - Credit card at all times
Icon Parking 330 E 39th Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.746851,-73.972901,3,NA,Public
NYC FLEET DPRROCKAWAY30B,2023-06-22,2023,QUEENS,40.592562,-73.762059,1,NA,Public
One Blue Slip-Greenpoint - Tesla Destination,2019-08-28,2019,BROOKLYN,40.736562,-73.959195,5,NA,Public
iPark 386 E 48th Street - Tesla Destination,2017-03-10,2017,MANHATTAN,40.7529,-73.967723,3,NA,Public
Rapidpark 600 Columbus Ave-QBDestinationSiteID52405 - Tesla Destination,2018-05-24,2018,MANHATTAN,40.788614,-73.97118,3,NA,Public
141 E 89th St - Garage,2023-11-02,2023,MANHATTAN,40.776897,-73.948795,6,NA,Public
250 Vesey,2022-09-15,2022,MANHATTAN,40.714113,-74.01581,2,NA,Public - Credit card at all times
Icon Parking 175 W 90th Street - Tesla Destination,2019-03-31,2019,MANHATTAN,40.790046,-73.972531,4,NA,Public
The Ocean - 1 West St Garage,2023-09-29,2023,MANHATTAN,40.705242,-74.016123,20,NA,Public
GGMC Ruppert Car Park - Tesla Destination,2018-01-08,2018,MANHATTAN,40.78098,-73.951145,3,NA,Public
CENTERS HEALTHC EV-5,2024-02-14,2024,BROOKLYN,40.673563,-73.926284,2,NA,Public
Andaz Wall Street - Tesla Destination,2015-07-16,2015,MANHATTAN,40.705115,-74.008089,1,NA,Public
CENTERS HEALTHC EV-1,2024-03-05,2024,BROOKLYN,40.673435,-73.926002,2,NA,Public
Icon Parking 54 Murray Street - Tesla Destination,2018-05-24,2018,MANHATTAN,40.714266,-74.009921,3,NA,Public
East 71st Parking - Basement,2022-12-18,2022,MANHATTAN,40.770094,-73.962964,10,NA,Public
Icon Parking 322 23rd Street - Tesla Destination,2018-01-08,2018,MANHATTAN,40.737533,-73.980437,3,NA,Public
Parkit 403 Lafayette St. - Tesla Destination,2015-05-21,2015,MANHATTAN,40.728287,-73.992746,2,NA,Public
iPark 650 Parking Corp - Tesla Destination,2018-05-24,2018,MANHATTAN,40.768144,-73.966736,3,NA,Public
551W21 SR Capital - Tesla Destination,2016-12-28,2016,MANHATTAN,40.747437,-74.007111,6,NA,Public
Parkit 301 E 64th - Tesla Destination,2015-11-13,2015,MANHATTAN,40.763488,-73.961323,3,NA,Public
333 Schermerhorn Garage - The Hub - Tesla Destination,2019-08-28,2019,BROOKLYN,40.686983,-73.980498,4,NA,Public
540 WAVERLY 4,2024-01-05,2024,BROOKLYN,40.682163,-73.966003,2,NA,Public
1 Hotel Brooklyn Bridge - Tesla Destination,2017-04-06,2017,BROOKLYN,40.701461,-73.995566,7,NA,Public
North 12 Parking (at the William Vale) - Tesla Supercharger,2018-07-23,2018,BROOKLYN,40.721853,-73.956658,NA,4,Public
iPark 530 E 80th Street - Tesla Destination,2017-03-10,2017,MANHATTAN,40.771382,-73.948344,3,NA,Public
3050 Corlear Ave - Nagle Parking Inc. - Tesla Destination,2019-08-28,2019,BRONX,40.880142,-73.907385,4,NA,Public
1 WATERLINE STATION#6,2022-03-10,2022,MANHATTAN,40.772912,-73.992589,2,NA,Public
1 WATERLINE STATION#7,2022-12-05,2022,MANHATTAN,40.772839,-73.992493,2,NA,Public
IMPark 353 4th Ave - Tesla Destination,2019-02-12,2019,BROOKLYN,40.673235,-73.986232,4,NA,Public
59 Allen Street - Tesla Supercharger,2018-12-01,2018,MANHATTAN,40.717153,-73.991869,NA,4,Public
Quikpark 173 W 12th Street - Tesla Destination,2017-07-17,2017,MANHATTAN,40.737108,-74.000358,3,NA,Public
265 E 66th St - Garage,2022-04-19,2022,MANHATTAN,40.76536,-73.96128,12,NA,Public
Rapidpark 15 W 72nd Street - Tesla Destination,2017-04-13,2017,MANHATTAN,40.776813,-73.977083,3,NA,Public
Paramount Tower - Garage,2023-12-29,2023,MANHATTAN,40.748066,-73.974444,20,NA,Public
Icon Parking 1056 5th Avenue - Tesla Destination,2017-08-23,2017,MANHATTAN,40.782031,-73.959484,3,NA,Public
L&L HOLDING CO. STATION 3,2024-04-24,2024,MANHATTAN,40.760378,-73.971062,2,NA,Public
Icon Parking 810 Seventh Ave - Tesla Destination,2016-05-03,2016,MANHATTAN,40.762568,-73.982718,3,NA,Public
